	Stop number	Name without locality	Locality	Locality number	Code	Stop No	NaPTAN stop class	NaPTANId	Easting	Northing	lat	lon
13299	14633	Station Road (Rathmore Road)	Lusk	E0824008	->E	3765	BCT	8240DB003765	721994	754261	53.52413598	-6.160138808
13300	14633	Station Road (Rathmore Road)	Lusk	E0824008	->W	3853	BCT	8240DB003853	721955	754271	53.52423485	-6.160722764
13301	14634	Lusk House	Lusk	E0824008	->E	3766	BCT	8240DB003766	722464	754076	53.52236506	-6.153126807
13302	14635	Station Road	Lusk	E0824008	->W	385	BCT	8240DB003851	722793	754036	53.52192906	-6.148183691
13303	14635	Station Road	Lusk	E0824008	->E1	3768	BCT	8240DB003768	722951	754006	53.52162269	-6.145814064
13304	14635	Station Road	Lusk	E0824008	->E2	3767	BCT	8240DB003767	722772	754047	53.52203277	-6.148495896
13305	14636	Skerries Road (Hands Lane)	Rush	E0824012	->N	378	BCT	8240DB003781	726561	754300	53.52340689	-6.091286735
13306	14637	Skerries Road Rush	Rush	E0824012	->N	378	BCT	8240DB003782	726552	754605	53.52614846	-6.091299197
13307	14638	Cooper's Lane	Rush	E0824012	->N	3783	BCT	8240DB003783	726525	755008	53.52977457	-6.091543405
13308	14639	Skerries Road (Five Lanes)	Rush	E0824012	->S	3784	BCT	8240DB003784	726575	755470	53.53391206	-6.09060297
13309	14640	Chapel View Road	Donabate	E0824002	->SW	3780	BCT	8240DB003780	722845	750029	53.48592608	-6.148968993
13310	14642	The Millbank	Rush	E0824012	->NE	3777	BCT	8240DB003777	725890	754199	53.52266081	-6.101440793
13311	14643	Main St Upper Rush	Rush	E0824012	->E1	3838	BCT	8240DB003838	726244	754198	53.52256696	-6.09610572
13312	14643	Main St Upper Rush	Rush	E0824012	->E2	3778	BCT	8240DB003778	726181	754216	53.52274375	-6.097048004
13313	14644	Rush Cricket Club	Rush	E0824012	->S	3835	BCT	8240DB003835	726546	754904	53.52883542	-6.091268857
13314	14645	Golden Ridge Estate	Rush	E0824012	->S	3836	BCT	8240DB003836	726567	754294	53.52335155	-6.091198726
13315	14646	The Strand bar	Rush	E0824012	->W	3837	BCT	8240DB003837	726378	754160	53.52219347	-6.094101409
13316	14647	Skerries Road	Rush	E0824012	->S	3834	BCT	8240DB003834	726525	755138	53.53094219	-6.091490892
13317	14648	Loughshinny (Rush Road)	Ballykea	E0824030	->NW	3787	BCT	8240DB003787	725829	756900	53.54693499	-6.101274839
13318	14648	Loughshinny (Rush Road)	Ballykea	E0824030	->S	382	BCT	8240DB003829	725828	756942	53.54731246	-6.101273031
13319	14649	Carn Hill House	Ballykea	E0824030	->SE	383	BCT	8240DB003831	726179	756406	53.54241411	-6.096195808
13320	14650	Ballustree	Rush	E0824012	->SE	383	BCT	8240DB003832	726426	756049	53.5391483	-6.092615494
13321	14651	Saint Catherines Estate	Rush	E0824012	->S	3833	BCT	8240DB003833	726578	755442	53.53365985	-6.09056906
13322	14652	Whitestown Road	Rush	E0824012	->W	3846	BCT	8240DB003846	724175	753646	53.51810162	-6.127508702
13323	14654	Horstone Road	Rush	E0824012	->W	384	BCT	8240DB003849	723207	753945	53.52101487	-6.141979616
13324	14655	Whitestown Road (Healy's Lane)	Rush	E0824012	->W	3845	BCT	8240DB003845	724663	753609	53.51765385	-6.120168984
